Clave Municipio,OC Identificada,Colonias
12008,Guerreros Unidos,""
12008,Los Chimalacos,""
12008,Los Rojos,""
12010,Los Ardillos,""
12011,Cártel Jalisco Nueva Generación,El Porvenir Limón
12011,Federación Guerrerense,""
12011,Guardia Guerrerense,""
12011,Guerrero Nueva Generación,""
12011,La Nueva Empresa,""
12011,Los Ardillos,""
12011,Los Cornudos,""
12011,Los Granados,""
12011,Los Viagra,""
12011,Sangre Nueva Guerrerense,""
12012,Los Ardillos,El Cortijo; Apantla
12012,Los Carrillo Salmerón,""
12012,Los Rusos,""
12012,Los Rusos (de Guerrero),""
12014,Cártel Jalisco Nueva Generación,""
12014,Federación Guerrerense,""
12014,Guardia Guerrerense,""
12014,La Nueva Empresa,""
12014,Los Cornudos,""
12014,Los Granados,San Jerónimo de Juárez Centro
12014,Los Viagra,""
12014,Sangre Nueva Guerrerense,""
12015,Cárteles Unidos,""
12015,Guerreros Unidos,""
12015,La Nueva Empresa,""
12015,Los Ardillos,""
12015,Los Rojos,""
12016,Cártel Jalisco Nueva Generación,""
12016,Guardia Guerrerense,""
12016,Los Cornudos,""
12016,Los Granados,""
12016,Los Viagra,""
12016,Sangre Nueva Guerrerense,""
12017,Cártel Jalisco Nueva Generación,""
12017,Cártel del Sur,""
12017,Cárteles Unidos,""
12017,Gente Nueva,""
12017,Guerreros Unidos,""
12017,La Bandera,""
12017,La Nueva Empresa,""
12017,La Nueva Familia Michoacana,Nuevo Balsas
12017,Los Rojos,""
12017,Los Tlacos,""
12019,Cárteles Unidos,""
12019,Guerreros Unidos,""
12019,Los Chimalacos,""
12019,Los Rojos,""
12021,Cártel Independiente de Acapulco,""
12021,Cártel Jalisco Nueva Generación,""
12021,Guardia Guerrerense,""
12021,Guerrero Nueva Generación,""
12021,La Nueva Empresa,""
12021,La Nueva Familia Michoacana,""
12021,Los Arreola,""
12021,Los Cornudos,""
12021,Los Granados,""
12021,Los Maldonado,""
12021,Los Rodríguez,Bajos del Ejido
12021,Los Rusos,Bajos del Ejido; El Conchero; Viejo
12021,Los Viagra,""
12021,Sangre Nueva Guerrerense,""
12022,Cártel Jalisco Nueva Generación,Los Guajes; Zihuaquio; Hacienda de Dolores
12022,Cártel de Sinaloa,San Antonio Texas
12022,Cártel de Tepalcatepec,""
12022,Guardia Guerrerense,""
12022,La Nueva Empresa,Hacienda de Dolores
12022,La Nueva Familia Michoacana,El Durazno; El Puerto de Ollas; Pineda; Río Frío de los Fresnos; San Antonio de las Tejas; Zihuaquio; El Carrizal; Los Guajes
12022,Los Arreola,San Antonio Texas
12022,Los Maldonado,San Antonio Texas
12022,Los Tlacos,""
12023,Cártel de los Lichos,""
12023,Los Marín,""
12023,Los Rusos,Cuajicuinalpa Centro; Punta Maldonado; San Nicolás
12023,Los Rusos (de Guerrero),Punta Maldonado; San Nicolás; Cuajicuinalpa Centro
12026,Cárteles Unidos,""
12026,Gente Nueva,""
12026,Guerreros Unidos,""
12026,Los Rojos,""
12026,Los Tlacos,""
12027,Cártel Jalisco Nueva Generación,""
12027,Guardia Guerrerense,""
12027,La Nueva Empresa,El Salitre
12027,La Nueva Familia Michoacana,""
12027,Los Maldonado,""
12027,Los Tlacos,""
12028,Cártel Jalisco Nueva Generación,""
12028,Cártel del Sur,""
12028,La Nueva Empresa,""
12028,Los Ardillos,Atzacoaloya; El Jagüey; Alcozacán
12028,Los Rojos,""
12028,"Policía Comunitaria ""Por la Paz y Justicia""",""
12029,Cártel Jalisco Nueva Generación,""
12029,Cártel del Sur,""
12029,Federación Guerrerense,""
12029,La Nueva Empresa,""
12029,La Nueva Familia Michoacana,""
12029,Los Ardillos,Chautipan; José López Portillo; Petaquillas (Ayacapitzatlán); PRD; Rincón de Alcaparrosa; Tepechicotlán; Buenavista de La Salud; Petaquillas
12029,Los Jaliscos,Chautipan
12029,Los Rojos,""
12029,Los Tlacos,El Tomatal; Flor de Nochebuena; Rincón de Alcaparrosa; San Mateo; Chilpancingo de los Bravos Centro; Los Gobernadores
12030,Los Rusos,Cruz Grande Centro
12030,Los Rusos (de Guerrero),Cruz Grande Centro
12031,Cárteles Unidos,""
12031,Gente Nueva,""
12031,Guerreros Unidos,""
12031,La Nueva Empresa,Acapetlahuaya
12031,La Nueva Familia Michoacana,Acapetlahuaya
12031,Los Rojos,""
12031,Los Tlacos,Acapetlahuaya
12032,Cártel Jalisco Nueva Generación,""
12032,Cártel del Sur,Tlacotepec Centro
12032,La Nueva Empresa,""
12032,La Nueva Familia Michoacana,Acatlán del Río; El Caracol; Tlacotepec; Tetela del Río
12032,Los Ardillos,""
12032,Los Jaliacos,Izotepec
12032,Los Rojos,Tlacotepec Centro
12032,Los Tlacos,Tlacotepec Centro; Izotepec
12034,Cárteles Unidos,""
12034,Gente Nueva,""
12034,Guerreros Unidos,""
12034,La Bandera,""
12034,Los Chimalacos,Paso Morelos
12034,Los Rojos,""
12034,Los Tlacos,""
12035,Cárteles Unidos,""
12035,Equipo del Justiciero del Pueblo,Nuevo Horizonte
12035,Federación Guerrerense,Nuevo Horizonte
12035,Gente Nueva,""
12035,Guerrero Nueva Generación,FOVISSSTE
12035,Guerreros Unidos,""
12035,La Bandera,""
12035,La Nueva Empresa,""
12035,La Nueva Familia Michoacana,Ruben Figueroa; Santa Teresa; Nuevo Horizonte
12035,Los Peques,Daniel Murayama; El Capire; Perpetuo Socorro; Juan N Alvarez
12035,Los RR,""
12035,Los Rojos,""
12035,Los Tlacos,""
12037,Cárteles Unidos,""
12037,Gente Nueva,""
12037,Guerreros Unidos,San Martín Pachivia
12037,La Bandera,San Martín Pachivia
12037,La Nueva Empresa,Zozoquitla
12037,La Nueva Familia Michoacana,Xalostoc; San Juan
12037,Los Rojos,""
12037,Los Tlacos,San Martín Pachivia
12038,Cártel Jalisco Nueva Generación,Zihuatanejo Centro; Zihuatanejo (Ixtapa-Zihuatanejo)
12038,Guardia Guerrerense,""
12038,La Nueva Empresa,""
12038,La Nueva Familia Michoacana,Zihuatanejo (Ixtapa-Zihuatanejo); Zihuatanejo Centro; Vallecitos de Zaragoza
12038,Los Arreola,""
12038,Los Cornudos,Vallecitos de Zaragoza
12038,Los Granados,Zihuatanejo Centro
12038,Los Viagra,""
12038,Sangre Nueva Guerrerense,""
12039,Cártel del Sur,Tierra Colorada Centro
12039,Federación Guerrerense,""
12039,Los Amigos,Las Garrapatas
12039,Los Ardillos,Tierra Colorada Centro; San Juan del Reparo Sur (San Juan del Reparo)
12039,Los Rojos,""
12039,Los Rusos,San Juan del Reparo Sur (San Juan del Reparo)
12039,Los Rusos (de Guerrero),San Juan del Reparo Sur (San Juan del Reparo)
12040,Cártel Jalisco Nueva Generación,""
12040,Cártel del Sur,Chichihualco; El Naranjo; Puerto Gral. Nicolás Bravo; Tepozonalco; El Balzamar
12040,Guerreros Unidos,Chichihualco
12040,La Nueva Empresa,""
12040,Los Ardillos,Chichihualco
12040,Los Jaliacos,Yextla
12040,Los Rojos,""
12040,Los Tlacos,Corral de Piedra; Yextla; Chichihualco
12042,Cártel del Sur,Apango
12042,Los Ardillos,Apango
12042,Los Rojos,""
12044,Cártel del Sur,""
12044,Los Ardillos,Zintlanapa
12044,Los Rojos,""
12045,Cártel Jalisco Nueva Generación,""
12045,La Nueva Empresa,""
12045,Los Ardillos,""
12046,Los Añorve,""
12046,Los Zetas Vieja Escuela,""
12047,Cárteles Unidos,""
12047,Gente Nueva,Ixcapuzalco
12047,Guerreros Unidos,""
12047,La Nueva Familia Michoacana,""
12047,Los Rojos,""
12048,Cártel Jalisco Nueva Generación,""
12048,Fuerza Guerrerense,La Palma
12048,Guardia Guerrerense,""
