Clave Municipio,Colonia,OC Identificada,Acumulado,2023 a 2025
2003,La Rumorosa,Cártel de Sinaloa,,1
2003,La Rumorosa,Los Cabezones,1,1
2003,La Rumorosa,Los Rusos,1,1
2003,Loma Alta,Cártel de Los Arellano Félix,,1
2003,Loma Alta,Cártel de Sinaloa,,1
2003,Mi Ranchito (Chula Vista),Los Rusos,,1
2003,Tanamá,Cártel Jalisco Nueva Generación,,1
2003,Valle de las Palmas,Cártel de Santa Rosa de Lima,1,1
2003,Valle Verde,Cártel de Los Arellano Félix,,1
2004,,Banda del Tigre,1,1
2004,,Cártel de Los Arellano Félix,1,1
2004,,Cártel de Los Beltrán Leyva,1,1
2004,,Cártel de Los Cabos,1,1
2004,,Cártel de Sinaloa,1,1
2004,,Cártel de Sinaloa (Los Guzmán),1,1
2004,,Cártel de Sinaloa (Los Zambada),1,1
2004,,Cártel de Tijuana Nueva Generación,1,1
2004,,Cártel del Golfo,1,1
2004,,Cártel Jalisco Nueva Generación,1,1
2004,,Comando la Mancha,1,1
2004,,El Speed,,1
2004,,Fuerzas Especiales del Ranchero,1,1
2004,,La Línea,1,1
2004,,Los Arzate,1,1
2004,,Los del Sur,1,1
2004,,Los Erres,1,1
2004,,Los Pelones,1,1
2004,,Los Pilotos,1,
2004,,Los R4,1,1
2004,,Los Rusos,1,1
2004,,Los Salazar,1,1
2004,,Mara Salvatrucha,1,1
2004,,Red Pompescu,1,
2004,,Robacarros,1,
2004, Alemán,Cártel de Los Arellano Félix,1,
2004, Alemán,Cártel de Sinaloa,1,
2004, Alemán,Cártel Jalisco Nueva Generación,1,
2004, Altamira,Cártel de Los Arellano Félix,1,
2004, Altamira,Cártel de Sinaloa,1,
2004, Altamira,Cártel Jalisco Nueva Generación,1,
2004, Ampliación Sanchez Taboada,Cártel de Ensenada,1,
2004, Ampliación Sanchez Taboada,Cártel de Sinaloa,1,
2004, Buenos Aires Sur,Los Rusos,1,
2004, Castillo,Cártel de Los Arellano Félix,1,
2004, Castillo,Cártel de Sinaloa,1,
