original_index,Municipio,Presidente Municipal,Inicio,Conclusión,full_code,firstname,lastname1,lastname2
137,Mulegé,GUILLERMO SANTILLÁN MEZA,2011-04-30,2015-09-26,3002,Guillermo,Santillán,Meza
138,Mulegé,CECILIA LOPEZ GONZALEZ,2015-09-27,2018-09-26,3002,Cecilia,Lopez,Gonzalez
139,Mulegé,JOSE FELIPE PRADO BAUTISTA,2018-09-27,2021-09-24,3002,Jose Felipe,Prado,Bautista
140,Mulegé,EDITH AGUILAR VILLAVICENCIO,2021-09-25,2027-09-24,3002,Edith,Aguilar,Villavicencio
141,La Paz,VICTOR MANUEL GULUARTE CASTRO,2002-04-30,2005-04-29,3003,Victor Manuel,Guluarte,Castro
142,La Paz,VICTOR MANUEL CASTRO COSIO,2005-04-30,2008-04-29,3003,Victor Manuel,Castro,Cosio
143,La Paz,ROSA DELIA COTA MONTAÑO,2008-04-30,2011-04-29,3003,Rosa Delia,Cota,Montaño
144,La Paz,ARMANDO MARTINEZ VEGA,2015-09-27,2018-09-26,3003,Armando,Martinez,Vega
145,La Paz,RUBEN GREGORIO MUÑOZ ALVAREZ,2018-09-27,2021-09-24,3003,Ruben Gregorio,Muñoz,Alvarez
146,La Paz,MILENA PAOLA QUIROGA ROMERO,2021-09-25,2024-09-24,3003,Milena Paola,Quiroga,Romero
147,La Paz,PAOLA MILENA QUIROGA ROMERO,2024-09-25,2027-09-24,3003,Paola Milena,Quiroga,Romero
148,Los Cabos,JOSE A. ABUNDES MONTAÑO,2008-04-30,2011-04-29,3008,Jose A.,Abundes,Montaño
149,Los Cabos,JOSÉ ANTONIO AGUNDEZ MONTAÑO,2011-04-30,2015-09-26,3008,José Antonio,Agundez,Montaño
150,Los Cabos,JESUS ARMIDA CASTRO GUZMAN,2018-09-27,2021-09-24,3008,Jesus Armida,Castro,Guzman
151,Los Cabos,OSCAR LEGGS CASTRO,2021-09-25,2024-09-24,3008,Oscar,Leggs,Castro
152,Los Cabos,CRISTIAN AGUNDEZ GOMEZ,2024-09-25,2027-09-24,3008,Cristian,Agundez,Gomez
153,Loreto,YUAN YEE CUNNINGHAM,2008-04-30,2011-04-29,3009,Yuan,Yee,Cunningham
